fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb_scaled,cantidad_mb_lim_scaled,vlmen_fndo_ttal_scaled
20250701,20250701,2390,Diesel,2025-05-24 00:00:00,164.0728,2025-05-31 12:10:02,164.0728,11.0745,98feeeb363,335ac645f3,1.2774430031352417,1.2774430031352417,0.6513963569211209
20250701,20250701,2391,Diesel,2025-05-22 00:00:00,403.146,2025-05-29 12:10:13,403.146,4.559,4cf95d140f,6c0c0fb3aa,3.755687658463676,3.755687658463676,0.09706253102622575
20250701,20250701,2392,Diesel,2025-05-28 00:00:00,25.522,2025-06-04 12:10:02,25.522,0.324,9a938afd95,06e27f564f,-0.1587814653182645,-0.1587814653182645,-0.2632480748620224
20250701,20250701,2393,Diesel,2025-05-24 00:00:00,23.85638,2025-05-31 12:10:02,23.85638,2.373,5860127617,637582e70e,-0.1760473648954992,-0.1760473648954992,-0.08892070025398921
20250701,20250701,2394,Diesel,2025-06-01 00:00:00,6.4012,2025-06-08 12:10:02,6.4012,0.48029,13c3a19c48,0af6a53b9b,-0.3569886269976326,-0.3569886269976326,-0.24995103953869904
20250701,20250701,2395,Diesel,2025-06-07 00:00:00,5.25284,2025-06-14 12:10:02,5.25284,0.48029,13c3a19c48,0af6a53b9b,-0.3688925837455783,-0.3688925837455783,-0.24995103953869904
20250701,20250701,2396,Diesel,2025-06-01 00:00:00,3.03293,2025-06-08 12:10:02,3.03293,0.02002,c9eb29fe21,3c4ef02753,-0.3919042809697345,-0.3919042809697345,-0.28911046399494084
20250701,20250701,2397,Diesel,2025-06-07 00:00:00,0.04357,2025-06-14 12:10:02,0.04357,0.0,6712a90afd,21f2e15b7a,-0.42289213507823603,-0.42289213507823603,-0.29081375049550345
20250701,20250701,2398,Diesel,2025-06-01 00:00:00,0.91943,2025-06-08 12:10:02,0.91943,0.01586,fa3a46cee7,50e0672639,-0.4138129268532407,-0.4138129268532407,-0.2894643936573954
20250701,20250701,2399,Diesel,2025-06-07 00:00:00,2.56024,2025-06-14 12:10:02,2.56024,0.02002,c9eb29fe21,3c4ef02753,-0.3968042089672148,-0.3968042089672148,-0.28911046399494084
